,rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
26,[a],Battle of Dunkirk,17,/wiki/Battle_of_Dunkirk,Civilization,Wars,,,,,,
27,16,Spanish Civil War,17,/wiki/Spanish_Civil_War,Civilization,Wars,,,,,,
28,17,War of 1812,15,/wiki/War_of_1812,Civilization,Wars,,,,,,
29,[c],The Troubles,14,/wiki/The_Troubles,Civilization,Wars,,,,,,
30,18,French and Indian War,14,/wiki/French_and_Indian_War,Civilization,Wars,,,,,,
31,18,Napoleonic Wars,14,/wiki/Napoleonic_Wars,Civilization,Wars,,,,,,
32,18,Yom Kippur War,14,/wiki/Yom_Kippur_War,Civilization,Wars,,,,,,
33,21,Mexican–American War,13,/wiki/Mexican%E2%80%93American_War,Civilization,Wars,,,,,,
34,21,Bosnian War,13,/wiki/Bosnian_War,Civilization,Wars,,,,,,
35,21,Kargil War,13,/wiki/Kargil_War,Civilization,Wars,,,,,,
36,[a],Battle of Britain,13,/wiki/Battle_of_Britain,Civilization,Wars,,,,,,
37,[f],2003 invasion of Iraq,13,/wiki/2003_invasion_of_Iraq,Civilization,Wars,,,,,,
38,24,Indian Rebellion of 1857,12,/wiki/Indian_Rebellion_of_1857,Civilization,Wars,,,,,,
39,24,Iran–Iraq War,12,/wiki/Iran%E2%80%93Iraq_War,Civilization,Wars,,,,,,
40,[a],Dunkirk evacuation,12,/wiki/Dunkirk_evacuation,Civilization,Wars,,,,,,
41,26,Boxer Rebellion,11,/wiki/Boxer_Rebellion,Civilization,Wars,,,,,,
42,26,Winter War,11,/wiki/Winter_War,Civilization,Wars,,,,,,
43,28,Second Boer War,10,/wiki/Second_Boer_War,Civilization,Wars,,,,,,
44,28,Kosovo War,10,/wiki/Kosovo_War,Civilization,Wars,,,,,,
45,[g],Trojan War,10,/wiki/Trojan_War,Civilization,Wars,,,,,,
46,[a],Battle for France,9.5,/wiki/Battle_for_France,Civilization,Wars,,,,,,
47,30,Soviet-Afghan War,9.5,/wiki/Soviet-Afghan_War,Civilization,Wars,,,,,,
48,30,Hundred Years' War,9.5,/wiki/Hundred_Years%27_War,Civilization,Wars,,,,,,
0,1,Soviet Union,63,/wiki/Soviet_Union,Civilization,Empires and hegemonies,,,,,,
1,2,Ottoman Empire‎ ,49,/wiki/Ottoman_Empire,Civilization,Empires and hegemonies,,,,,,
2,3,Roman Empire‎,43,/wiki/Roman_Empire,Civilization,Empires and hegemonies,,,,,,
3,4,Nazi Germany,41,/wiki/Nazi_Germany,Civilization,Empires and hegemonies,,,,,,
4,5,British Empire,32,/wiki/British_Empire,Civilization,Empires and hegemonies,,,,,,
5,6,Byzantine Empire,28,/wiki/Byzantine_Empire,Civilization,Empires and hegemonies,,,,,,
6,7,Ancient Egypt,25,/wiki/Ancient_Egypt,Civilization,Empires and hegemonies,,,,,,
7,8,Mughal Empire,24,/wiki/Mughal_Empire,Civilization,Empires and hegemonies,,,,,,
8,8,Sparta,23,/wiki/Sparta,Civilization,Empires and hegemonies,,,,,,
9,10,Russian Empire,18,/wiki/Russian_Empire,Civilization,Empires and hegemonies,,,,,,
10,10,German Empire,17,/wiki/German_Empire,Civilization,Empires and hegemonies,,,,,,
11,12,Qing dynasty,16,/wiki/Qing_dynasty,Civilization,Empires and hegemonies,,,,,,
12,13,Holy Roman Empire‎[a],15,/wiki/Holy_Roman_Empire,Civilization,Empires and hegemonies,,,,,,
13,13,Austria-Hungary,15,/wiki/Austria-Hungary,Civilization,Empires and hegemonies,,,,,,
14,15,Inca Empire,13,/wiki/Inca_Empire,Civilization,Empires and hegemonies,,,,,,
15,15,Empire of Japan,13,/wiki/Empire_of_Japan,Civilization,Empires and hegemonies,,,,,,
16,17,Ming dynasty,11,/wiki/Ming_dynasty,Civilization,Empires and hegemonies,,,,,,
17,18,Mongol Empire,11,/wiki/Mongol_Empire,Civilization,Empires and hegemonies,,,,,,
18,19,Han dynasty,9.4,/wiki/Han_dynasty,Civilization,Empires and hegemonies,,,,,,
19,20,Maurya Empire‎,9.2,/wiki/Maurya_Empire,Civilization,Empires and hegemonies,,,,,,
20,21,Spanish Empire,9.0,/wiki/Spanish_Empire,Civilization,Empires and hegemonies,,,,,,
21,22,Tang dynasty,8.8,/wiki/Tang_dynasty,Civilization,Empires and hegemonies,,,,,,
22,23,Sumer,8.6,/wiki/Sumer,Civilization,Empires and hegemonies,,,,,,
23,23,History of Japan,8.6,/wiki/History_of_Japan,Civilization,Empires and hegemonies,,,,,,
24,25,Achaemenid Empire,8.4,/wiki/Achaemenid_Empire,Civilization,Empires and hegemonies,,,,,,
25,26,Gupta Empire,7.4,/wiki/Gupta_Empire,Civilization,Empires and hegemonies,,,,,,
26,26,Delhi Sultanate,7.4,/wiki/Delhi_Sultanate,Civilization,Empires and hegemonies,,,,,,
27,28,Umayyad Caliphate[a],6.7,/wiki/Umayyad_Caliphate,Civilization,Empires and hegemonies,,,,,,
28,29,Assyria‎ ,6.4,/wiki/Assyria,Civilization,Empires and hegemonies,,,,,,
29,30,Abbasid Caliphate,6.1,/wiki/Abbasid_Caliphate,Civilization,Empires and hegemonies,,,,,,
0,1,United States,254,/wiki/United_States,Civilization,Present countries,,,,,,
1,2,India,165,/wiki/India,Civilization,Present countries,,,,,,
2,3,United Kingdom,144,/wiki/United_Kingdom,Civilization,Present countries,,,,,,
3,4,Canada,113,/wiki/Canada,Civilization,Present countries,,,,,,
4,5,Australia,107,/wiki/Australia,Civilization,Present countries,,,,,,
5,6,China,100,/wiki/China,Civilization,Present countries,,,,,,
6,7,Russia,98,/wiki/Russia,Civilization,Present countries,,,,,,
7,8,Japan,96,/wiki/Japan,Civilization,Present countries,,,,,,
8,9,Germany,94,/wiki/Germany,Civilization,Present countries,,,,,,
9,10,France,85,/wiki/France,Civilization,Present countries,,,,,,
10,11,Singapore,80,/wiki/Singapore,Civilization,Present countries,,,,,,
11,12,Israel,78,/wiki/Israel,Civilization,Present countries,,,,,,
12,13,Pakistan,68,/wiki/Pakistan,Civilization,Present countries,,,,,,
13,13,Philippines,68,/wiki/Philippines,Civilization,Present countries,,,,,,
14,15,Brazil,67,/wiki/Brazil,Civilization,Present countries,,,,,,
15,16,Italy,66,/wiki/Italy,Civilization,Present countries,,,,,,
16,16,Netherlands[a],66,/wiki/Netherlands,Civilization,Present countries,,,,,,
17,16,New Zealand[a],66,/wiki/New_Zealand,Civilization,Present countries,,,,,,
18,19,Ukraine,64,/wiki/Ukraine,Civilization,Present countries,,,,,,
19,19,Spain,64,/wiki/Spain,Civilization,Present countries,,,,,,
20,19,Turkey,64,/wiki/Turkey,Civilization,Present countries,,,,,,
21,22,South Africa,62,/wiki/South_Africa,Civilization,Present countries,,,,,,
22,23,Mexico,61,/wiki/Mexico,Civilization,Present countries,,,,,,
23,24,Indonesia,60,/wiki/Indonesia,Civilization,Present countries,,,,,,
24,25,Switzerland,58,/wiki/Switzerland,Civilization,Present countries,,,,,,
25,26,North Korea,56,/wiki/North_Korea,Civilization,Present countries,,,,,,
26,27,Sweden,55,/wiki/Sweden,Civilization,Present countries,,,,,,
