rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
24,Indonesia,60,/wiki/Indonesia,Civilization,Present countries,,,,,,
25,Switzerland,58,/wiki/Switzerland,Civilization,Present countries,,,,,,
26,North Korea,56,/wiki/North_Korea,Civilization,Present countries,,,,,,
27,Sweden,55,/wiki/Sweden,Civilization,Present countries,,,,,,
28,Iran,54,/wiki/Iran,Civilization,Present countries,,,,,,
29,United Arab Emirates,52,/wiki/United_Arab_Emirates,Civilization,Present countries,,,,,,
30,Egypt,51,/wiki/Egypt,Civilization,Present countries,,,,,,
31,Poland,51,/wiki/Poland,Civilization,Present countries,,,,,,
32-189,158 countries,50–6.6,,Civilization,Present countries,,,,,,
190,Federated States of Micronesia,6.5,/wiki/Federated_States_of_Micronesia,Civilization,Present countries,,,,,,
191,Saint Vincent and the Grenadines,6.3,/wiki/Saint_Vincent_and_the_Grenadines,Civilization,Present countries,,,,,,
192,Eswatini,6.1,/wiki/Eswatini,Civilization,Present countries,,,,,,
193,São Tomé and Príncipe,5.9,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,Civilization,Present countries,,,,,,
194,Republic of the Congo,4.9,/wiki/Republic_of_the_Congo,Civilization,Present countries,,,,,,
1,New York City,96,/wiki/New_York_City,Civilization,Cities,North America,,,,,
2,Singapore,80,/wiki/Singapore,Civilization,Cities,Asia,,,,,
3,London,76,/wiki/London,Civilization,Cities,Europe,,,,,
4,Hong Kong,62,/wiki/Hong_Kong,Civilization,Cities,Asia,,,,,
5,Los Angeles,53,/wiki/Los_Angeles,Civilization,Cities,North America,,,,,
6,Dubai,51,/wiki/Dubai,Civilization,Cities,Asia,,,,,
